Power
t(s)	P(W)
 8.100585937e-009	1.000440857e+012
 8.110351563e-009	9.883223327e+011
 8.120117188e-009	9.756850913e+011
 8.129882813e-009	9.624923013e+011
 8.139648438e-009	9.487039201e+011
 8.149414063e-009	9.342756454e+011
 8.159179688e-009	9.191603569e+011
 8.168945313e-009	9.033066086e+011
 8.178710938e-009	8.866594161e+011
 8.188476563e-009	8.691577651e+011
 8.198242188e-009	8.507370373e+011
 8.208007813e-009	8.313252741e+011
 8.217773437e-009	8.108446188e+011
 8.227539062e-009	7.892124303e+011
 8.237304687e-009	7.663349268e+011
 8.247070312e-009	7.421118382e+011
 8.256835937e-009	7.164324086e+011
 8.266601562e-009	6.891763794e+011
 8.276367188e-009	6.602119578e+011
 8.286132813e-009	6.293981102e+011
 8.295898438e-009	5.965857423e+011
 8.305664063e-009	5.616259564e+011
 8.315429688e-009	5.243858452e+011
 8.325195313e-009	4.847798518e+011
 8.334960938e-009	4.428140708e+011
 8.344726563e-009	3.98652244e+011
 8.354492188e-009	3.526895534e+011
 8.364257813e-009	3.056142909e+011
 8.374023438e-009	2.584365629e+011
 8.383789063e-009	2.124475597e+011
 8.393554687e-009	1.690975273e+011
 8.403320312e-009	1.29803223e+011
 8.413085937e-009	9.572447846e+010
 8.422851562e-009	6.757166285e+010
 8.432617187e-009	4.55029801e+010
 8.442382812e-009	2.914124186e+010
 8.452148438e-009	1.769944474e+010
 8.461914063e-009	1.016973107e+010
 8.471679688e-009	5515359232
 8.481445313e-009	2817248512
 8.491210938e-009	1352386688
 8.500976563e-009	608411968
 8.510742188e-009	255373968
 8.520507813e-009	99104704
 8.530273438e-009	34795956
 8.540039063e-009	10417175
 8.549804688e-009	2167230.5
 8.559570312e-009	0
 8.569335937e-009	0
 8.579101562e-009	0
 8.588867187e-009	0
 8.598632812e-009	0
 8.608398437e-009	0
 8.618164062e-009	0
 8.627929688e-009	0
 8.637695313e-009	0
 8.647460938e-009	0
 8.657226563e-009	0
 8.666992188e-009	0
 8.676757813e-009	0
 8.686523438e-009	0
 8.696289063e-009	0
 8.706054688e-009	0
 8.715820313e-009	0
 8.725585938e-009	0
 8.735351562e-009	0
 8.745117187e-009	0
 8.754882812e-009	0
 8.764648437e-009	0
 8.774414062e-009	0
 8.784179687e-009	0
 8.793945313e-009	0
 8.803710938e-009	0
 8.813476563e-009	0
 8.823242188e-009	0
 8.833007813e-009	0
 8.842773438e-009	0
 8.852539063e-009	0
 8.862304688e-009	0
 8.872070313e-009	0
 8.881835938e-009	0
 8.891601563e-009	0
 8.901367188e-009	0
 8.911132812e-009	0
 8.920898437e-009	0
 8.930664062e-009	0
 8.940429687e-009	0
 8.950195312e-009	0
 8.959960937e-009	0
 8.969726563e-009	0
 8.979492188e-009	0
 8.989257813e-009	0
 8.999023438e-009	0
 9.008789063e-009	0
 9.018554688e-009	0
 9.028320313e-009	0
 9.038085938e-009	0
 9.047851563e-009	0
 9.057617188e-009	0
 9.067382813e-009	0
 9.077148437e-009	0
 9.086914062e-009	0
 9.096679687e-009	0
 9.106445312e-009	0
 9.116210937e-009	0
 9.125976562e-009	0
 9.135742187e-009	0
